11/06/2025 09:51:16.545 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: h2h4
11/06/2025 09:51:36.665 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (f5e4) to lichess
11/06/2025 09:51:37.232 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:51:37.234 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f5e4
11/06/2025 09:51:41.041 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:51:41.044 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: d3e4
11/06/2025 09:51:51.418 | ERROR | cli-chess | board_model.verify_move | illegal san: 'Bxg3' in r4r2/pp2k3/3p3p/1BpPb1pq/4Q1bP/2N3P1/PPP5/R1B1R1K1 b - - 0 22
11/06/2025 09:52:34.122 | ERROR | cli-chess | board_model.verify_move | illegal san: 'Ke8' in r4r2/pp2k3/3p3p/1BpPb1pq/4Q1bP/2N3P1/PPP5/R1B1R1K1 b - - 0 22
11/06/2025 09:52:53.896 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (e7d8) to lichess
11/06/2025 09:52:54.463 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:52:54.470 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: e7d8
11/06/2025 09:52:57.201 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:52:57.203 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: e1f1
11/06/2025 09:53:23.221 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (f8f1) to lichess
11/06/2025 09:53:23.782 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:53:23.784 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f8f1
11/06/2025 09:53:29.814 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:53:29.816 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: g1g2
11/06/2025 09:53:59.394 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (f1f3) to lichess
11/06/2025 09:53:59.951 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:53:59.953 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f1f3
11/06/2025 09:54:05.642 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:54:05.646 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: e4e5
11/06/2025 09:54:20.338 | ERROR | cli-chess | board_model.verify_move | invalid san: 'Dxe5'
11/06/2025 09:54:23.815 | ERROR | cli-chess | board_model.verify_move | invalid san: 'Dxe5'
